epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,754.064,1.01025,0.42912,0.01134,0.59451,0.53199,0.52923,0.38103,0.96095,0.3324,0.01501,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,1504.95,1.01654,0.44099,0.0115,0.59205,0.52913,0.53041,0.382,0.96023,0.33162,0.015,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2266.47,1.02065,0.44869,0.01144,0.59445,0.52844,0.53218,0.38359,0.96028,0.3308,0.01499,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3017.39,1.02304,0.44776,0.01161,0.59729,0.52682,0.53368,0.38432,0.95957,0.3303,0.01496,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3765.38,1.03802,0.4501,0.01171,0.6049,0.52466,0.5337,0.3845,0.95827,0.32962,0.01492,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4512.93,1.03469,0.44349,0.01169,0.60898,0.52189,0.53231,0.38338,0.95692,0.3291,0.0149,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5247.32,1.02773,0.44673,0.01162,0.60236,0.52676,0.53306,0.3842,0.95634,0.32895,0.01487,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5989.35,1.02749,0.44655,0.01159,0.59381,0.52856,0.53369,0.38512,0.95548,0.32987,0.01486,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6783.65,1.03206,0.44937,0.01158,0.59817,0.52358,0.53174,0.38283,0.95475,0.33002,0.01485,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7830.85,1.02077,0.44276,0.01147,0.59995,0.51911,0.53145,0.38255,0.95324,0.33055,0.0148,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8701.06,1.01457,0.44367,0.0114,0.60313,0.52015,0.53285,0.38441,0.95241,0.32812,0.01477,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9470.09,1.02262,0.43848,0.01141,0.5916,0.52807,0.5314,0.38381,0.95152,0.32676,0.01476,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10234.7,1.01053,0.43181,0.01133,0.59189,0.53245,0.53464,0.38658,0.9509,0.32528,0.01474,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11143.6,1.01158,0.43373,0.01127,0.58848,0.53366,0.53564,0.38671,0.94996,0.32419,0.01472,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12028.4,0.9968,0.42206,0.01118,0.59293,0.53408,0.53592,0.38733,0.94949,0.32382,0.0147,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12894.1,0.99978,0.42,0.01118,0.59762,0.53619,0.53781,0.38846,0.94791,0.32387,0.01467,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13746.1,0.99629,0.42047,0.01113,0.60438,0.53384,0.54016,0.39036,0.94753,0.3227,0.01467,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14534.5,0.99308,0.4195,0.0111,0.61797,0.52979,0.5419,0.39158,0.94659,0.32194,0.01465,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15363.9,1.04951,0.4044,0.01465,0.61671,0.53569,0.54098,0.39117,0.94529,0.32099,0.01463,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16119.7,1.03397,0.39955,0.0144,0.61843,0.53919,0.54218,0.39117,0.94329,0.32033,0.01457,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16858.4,1.02463,0.39185,0.01419,0.61076,0.54113,0.54244,0.39147,0.94208,0.3191,0.01455,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17616.6,1.02367,0.38552,0.01411,0.61193,0.53827,0.5429,0.39206,0.94216,0.31767,0.01457,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18374,1.01339,0.38117,0.01397,0.61136,0.5391,0.54491,0.39404,0.9411,0.31648,0.01455,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19120,1.00543,0.3755,0.01376,0.6161,0.54422,0.54898,0.3952,0.93996,0.31565,0.01452,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19869.3,1.002,0.37177,0.01371,0.61334,0.54387,0.55007,0.39645,0.93919,0.3146,0.01452,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,20780.5,0.99609,0.36814,0.01363,0.61554,0.54029,0.55085,0.39695,0.93809,0.31382,0.0145,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,21610.4,0.98861,0.3654,0.01343,0.61724,0.54066,0.55044,0.39705,0.93701,0.31298,0.01448,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,22480.4,0.98696,0.36569,0.01332,0.61621,0.5409,0.55063,0.39695,0.93647,0.31297,0.01448,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
